songid,song_name,lyrics,artist
1,Deewaana Deewaana,"Dheeme-dheeme mehakte jage, jage
Dheeme-dheeme mehakte jage, jage
Ni sa ni sa..
Sajna ke sajde mein itna rehne lage
Deewana deewana duniya kehne lage
Ga ga gama gare pa..
Had hoti hai har chahat ki
Bol humaari had hai kya
Itna kehde in sajdon ka
Teri nazar mein kad hai kya
Kitne koson ki doori hai humse
Rehta kitna tu aage
Ga pa ga re sa..
Sajna ke sajde mein itna rehne lage
Deewana deewana duniya kehne lage
Rang birange naaz uthaake
Yaad ko apne paas bithake
Sajna ke sajde mein rehne, rehne lage
Re ga re ga..
Sajna sajna sajna.",A.R. Rahman
2,Ghera Hua,"Tu agar meri, yeh hawayein teri
Tu agar meri, saari raahein teri
Tu agar meri, main hoon tera
Tu agar meri, yeh ujaale tere
Tu agar meri, dil hawale tere
Tu agar meri, main hoon tera

Betaab-sa mohabbat ka tu inqalaab hai
Mera jahaan teri baahon mein khwaab, khwaab hai

Gehra hua, gehra hua
Rang aashiqui gehra hua
Gehra hua, gehra hua
Dariya dua gehra hua
Tera hua

Tu agar meri, yeh hawayein teri
Tu agar meri, saari raahein teri
Tu agar meri, main hoon tera

Palkein jhapakta hai aasmaan
Laakhon farishton ki hai tu jaan
Woh poochhte hain Rehti kahaan?
Meri baahon mein rehti, unko bata

Palkein jhapakta hai aasmaan
Usne bhi tujh-sa dekha kahaan
Hai raunakien wahan, tu hai jahaan
Meri baahon mein rehna, yahi hai dua

Tu agar meri, hai fasaana tera
Tu agar meri, toh zamaana tera
Tu agar meri, main hoon tera

Betaab-sa mohabbat ka tu inqalaab hai
Mera jahaan teri baahon mein khwaab, khwaab hai

Gehra hua, gehra hua
Rang aashiqui gehra hua
Tera hua

Tu agar meri, yeh hawayein teri
Tu agar meri, saari raahein teri
Tu agar meri, main hoon tera

Teri mohabbat mein jalna bhi hai
Aur tujhse bachke hi chalna bhi hai
Kuch rang apna badalna bhi hai
Maine dhalna tere rang mein hai sada

Tu chaand hai ek dhadakta hua
Chori se mujhko hi takta hua
Seene se lag ke chamakta hua
Meri jannat ka rasta, tu hi tu hua

Tu agar meri, yeh hawayein teri
Tu agar meri, saari raahein teri
Tu agar meri, main hoon tera

Betaab-sa mohabbat ka tu inqalaab hai
Mera jahaan teri baahon mein khwaab, khwaab hai

Gehra hua, gehra hua
Rang aashiqui gehra hua
Gehra hua, gehra hua
Dariya dua gehra hua
",Arijit Singh
3,Barbaad,"Tujhse Duur Main Ek Hi Wajah Ke Liye Hoon

Kamzor Ho Jaata Hoon Main

Tujhse Duur Main Ek Hi Wajah Ke Liye Hoon

Aawaara Bann Jaata Hoon Main

Tujhse Duur Main Ek Hi Wajah Ke Liye Hoon

Kamzor Ho Jaata Hoon Main

Tujhse Duur Main Ek Hi Wajah Ke Liye Hoon

Aawaara Bann Jaata Hoon Main

Tujhe Chhoo Loon Toh Kuch Mujhe Ho Jaayega

Jo Main Chahta Na Ho Mujhko

Tujhe Mil Ke Yeh Dil Mera Beh Jaayega

Issi Baat Ka Darr Hai Mujhko

Ke Ho Naa Jaaye Pyaar Tumse Mujhe

Kar Dega Barbaad Ishq Mujhe

Ho Naa Jaaye Pyaar Tumse Mujhe

Behadd Beshumaar Tumse

Tumse

Teri Nazdeekiyon Mein Kaisa Khumaar Hai

Teri Kurbat Se Mera Dil Kyun Bekaraar Hai

Kyun Yeh Mitt-Ti Nahin Hai Kaisi Yeh Pyaas Hai

Jitna Main Duur Jaaun Utni Hi Tu Paas Hai

Tujhe Keh Doon Ya Rehne Doon Raaz Mere

Sab Kuch Keh Doon Kya Tujhko

Tu Mujhko Chhod Jaayegi Ya Aayegi Paas Mere

Issi Baat Ka Darr Hai Mujhko

Ke Ho Naa Jaaye Pyaar Tumse Mujhe

Kar Dega Barbaad Ishq Mujhe

Ho Naa Jaaye Pyaar Tumse Mujhe

Behadd Beshumaar Tumse

Inn Ghamon Ko Khatam Kar Rahe Ho Tum

Inn Ghamon Ko Khatam Kar Rahe Ho Tum

Zakhmon Ka Marham Bann Rahe Ho Tum

Mehsoos Mujhe Aisa Kyun Ho Raha

Ke Meri Duniya Bann Rahe Ho Tum

Bann Rahe Ho Tum

Tere Bin Kya Yeh Dil Ab Dhadak Paayega

Poochta Hoon Main Yeh Khudko

Tere Aane Se Dard Chala Jaayega

Issi Baat Ka Darr Hai Mujhko

Ke Ho Naa Jaaye Pyaar

Ke Ho Naa Jaaye Pyaar

Ke Ho Naa Jaaye Pyaar Tumse Mujhe

Kar Dega Barbaad Ishq Mujhe

Ho Naa Jaaye Pyaar Tumse Mujhe

Behadd Beshumaar Tumse

Ishq Mujhe Ishq Mujhe

Barbaad Mujhe

Barbaad

Ishq Mujhe",Jubin Nautiyal
4,Dhun,"Sanam Ko Apna Banaane Ke Liye

Hai Yahi Ek Dhun

Hai Yahi Ek Dhun

Jab Bhi Barsaat Aaye

Palkon Mein Dhaak Lunga

Na Kami Koi Khalegi

Tujhe Itna Pyaar Dunga

Chaand Taare Le Aaun

Hai Yeh Toh Mumkin Nahin

Par Vaada Hai Yeh Kasam Se

Tere Saath Main Rahunga

Tere Saath Main Rahunga

Yeh Main Daawa Nahin Kar Raha

Koi Taj Mahal Hai Mera

Naam Ki Chand Deewaarein Hain

Jinko Hi Ghar Main Kehta Raha

Tere Iss Ghar Ko Sajaane Ke Liye

Hai Yahi Ek Dhun

Sanam Ko Apna Banaane Ke Liye

Hai Yahi Ek Dhun

Hai Yahi Ek Dhun

Ek Dhun

Ek Dhun

Tere Iss Dil Ko Churaane Ke Liye

Hai Yahi Ek Dhun",Arijit Singh
5,Dil ka jo haal hai,"Hey…

Dil ka jo haal hai
Woh tujhe kaise bayaan kare
Keh de tujhe ya dil mein rakhe
Bolo na kya kare
Dil jo tumhara hai
Kaisa bechara hai
Maane na besharam bilkul khatara hai
Tu kare dil beqaraar
Kyun karoon main tujhse pyar (x2)

O o…

Pehle bhi kitni dafa dil ne kaha tujhe
Samjho na meri wafaa
Dunga duaa tujhe
Rishta koi nahi tera-mera
Hone laga hai tu baawra
Teri jhooti wafaa

Jaayegi tu jahaan
Aaunga main wahaan
Meri banegi tu aana tujhe yahaan

Kyun kare tu mujhse pyaar
Kyun kare dil bekaraar

Jaane kyun dil ye tera
Hai mere pyaar mein
Laakhon qataar mein hai
Mere intezaar mein

Rokun jo dil ko toh ruke naa
Aankhein dikhaaun par jhuke naa
Hain ye tujhpe fida

Din ke khayalon mein
Beete sawaalon mein
Shabd naye buno
Kuch toh naya kaho

Tu kare dil beqaraar
Kyun karoon main tujhse pyaar

Dil ka jo haal hai
Woh tujhe kaise bayaan kare
Keh de tujhe ya dil mein rakhe
Bolo na kya kare
Dil jo tumhara hai, kaisa bechara hai
Maane na besharam bilkul khatara hai
Tu kare dil beqaraar
Kyun karoon main tujhse pyar (x2)

Tu kare dil beqaraar
Kyun karoon main tujhse pyar



Read more: https://www.lyricsmint.com/besharam/dil-ka-jo-haal-hai","Abhijeet Bhattacharya ,Shreya Ghosal"
6,Jo Tere Sang,"Jo tere sang kaati raatein
Jiye jo hāseen lamhe
Jo tere sang bāati baatein
Bune jo haseen sapne
Ẃoh toh hai āb bhi wohi, khade bānke sawaali
Dekhe hai tera rasta, honthon pe leke shiqwa
Woh ghar kyun bhool gaye, tod gaye, chhod gaye
Jannat jo tha…

Jo tere sang kaati raatein
Jiye jo haseen lamhe
Jo tere sang baati baatein
Bune jo haseen sapne
Woh toh hai ab bhi wohi, khade banke sawaali
Dekhe hain tera rasta, honthon pe leke shiqwa
Woh ghar kyun bhool gaye todh gaye chhod gaye
Jannat jo tha
Ho o o..

Manga jo chaaha jo dekha jo, mila wohi
Kaha jo socha jo kiya jo, huaa wohi
Ho maanga jo chaaha jo dekha jo, milaa wohi
Kaha jo socha jo kiya jo, huaa wohi
Raahon mein mujhko khushi, phoolon ke jaise mili
Honthon pe mere hansi, kaliyon ke jaise khili
Woh ghar kyun bhool gaye todh gaye chhod gaye
Jannat jo tha
Ho o o..

Saathiya….

Mere hi isharon pe chale hai waqt bhi
Main hoon woh khiladi jisne sabko maat di
Haan, mere hi ishaaron pe chale hai waqt bhi
Main hoon woh khiladi jisne sabko maat di
Nahin hai mujhsa koi, maine jo mitti chhui
Haan woh bhi sona hui, jalta mujhse har koi
Woh ghar kyun bhool gaye todh gaye chhod gaye
Jannat jo tha

Jo tere sang kaati raatein
Jiye jo haseen lamhe
Jo tere sang baati baatein
Bune jo haseen sapne
Woh toh hai ab bhi wohi, khade banke sawaali
Dekhe hain tera rasta, honthon pe leke shiqwa
Woh ghar kyun bhool gaye, tod gaye, chhod gaye
Jannat jo tha…

Ho o o..



Read more: https://www.lyricsmint.com/blood-money/jo-tere-sang",Mustafa Zahid
7,Bas Ek Pal,"Bas Ek Pal
Bas Ek Pal
Bas Ek Pal
Tu Ek Baar Jo Pyaar Se Mujhko Chuley Toh
Har Zakhm Bhar Jaayegaa,
Zara Ithzaa Suun Ke Deewaane Dilki Mujhe
Aapne Dilse Lagaa...
Bas Ek Pal
Bas Ek Pal
Bas Ek Pal
Hamare Khayalo Mein Khwaboan Mein Yaadon
Mein Baatoan Mein Rehte Ho Tum,
Badaake Mein Yeh Haath Chuna Jo Chahun
Toh Pal Bhar Mein Hothe Ho Gum.
Tere Pyaar Mein Aise Jiyan Hum,
Jala Hain Dil... yeh Aankhein Hue Nam
Jala Hain Dil... yeh Aankhein Hue Nam
Bas Ek Pal
Bas Ek Pal
Bas Ek Pal
Sunaah Hain Mohabbath Ki Thakdeer
Mein, likhein Hain Andherein Ghanee,
Tabhi Aaj Shayad Sitare Sabi Zara Saahi
Roshan Hue...
Mere Haath Ki In Lakeeron Mein Likhe Abhi
Aur Kitne... sitam,
Khafaa Ho Gaye Hain Khushi Waqt Sey Ho
Rahein Hain Meherbann Gam,
Tere Pyaar Mein Aise Jiyan Hum,
Jala Hain Yeh Dil... yeh Aankhein Hue Nam
Jala Hain Yeh Dil... yeh Aankhein Hue Nam
Bas Ek Pal
Bas Ek Pal
Bas Ek Pal
Bas Ek Pal
Bas Ek Pal
Bas Ek Pal
Bas Ek Pal",KK
8,Rakhlo Tum Chupaake,"rakhlo tum chupake
phir khath likh ke hi kehna
simti si likhayi
mein hi bharna apna aagam

mujhe rakhti ho chupake
bator lo kahin pe jod do
lifafe mein sajake
humein aisi kyun saza do
ki hum padhke jaane galti
aur galti kal se na ho
humein aisi ek saza do
ki hum jaane saari doori

humse jo rooth g+yi ho
rehti chup hoke pure din
tum likh lo jaise katgarhe
mein hum khat padh lenge shauk se
isi ek pal ke bahane se
hum galti se paas aayenge
phir kehni ki thi galti
aur uska kya hi kehna

rakhlo tum chupake
phir khath likh ke hi kehna
simti si likhayi
mein hi bharna apna aagam",Arpit Bala
9,Rab Ka Shukrana,"Tu hai ab jo baahon mein, Qarar hai
Rab Ka Shukrana
Saanson mein hai nasha, Khumar hai
Rab Ka Shukrana
Tu hi ab mera deen hai, imaan hai
Rab Ka Shukrana
Mera kalma hai tu, Azaan hai
Rab Ka Shukrana
Rab Ka… …Shukrana

Tu mila toh sab mila
Ab kisi se kya gila
Tujhme simtu, aa main bikhru
Teri baahon mein….
Tu mila toh sab mila
Ab kisi se kya gila…
Tujhme simtu, aa main bikhru
Teri baahon mein fanaa ho jaaun main

Tu hi ab duniya meri, Jahaan hai
Rab Ka Shukrana
Khabon ki khayalon ki udaan hai
Rab Ka Shukrana

Tu hi ab mera deen hai, imaan hai
Rab Ka Shukrana
Mera kalma hai tu, Azaan hai
Rab Ka Shukrana

Sab se ho jaaun pare jo ishara tu kare
Abb toh rehna hai tujhi mein
Gumshuda hoon main
Sab se ho jaaun pare jo ishara tu kare
Abb toh rehna hai tujhi mein
Gumshuda hoon main
Ho teri baahon mein….

Jazbo ka toh naya bayaan hai
Rab Ka Shukrana
Naya rutba nayi shaan hai
Rab Ka Shukrana

Tu hi ab mera deen hai, imaan hai
Rab Ka Shukrana
Mera kalma hai tu, Azaan hai tu
Rab Ka Shukrana

Rab Ka…
Rab Ka…
Rab Ka… Shukrana



Read more: https://www.lyricsmint.com/jannat-2/rab-ka-shukrana",Mohit Chauhan
10,One Bottle Down,"I’m one bottle down
I’m one bottle down
I’m one bottle down
Peelo mere saath mein

I’m one bottle down
Peelo mere saath mein
Din mein sota hoon
Party karun raat mein (x2)

I’m feeling so good
My world is so round
I’m feeling so good
My world is so round

I wanna dance cause I’m one bottle down
I wanna dance cause I’m one bottle down
I wanna dance.. hoon main poori botal down
I wanna dance.. hoon main poori botal down
I wanna dance.. hoon main poori botal down
I wanna dance.. hoon main poori botal down

From Monday to Sunday
Main toh daily peeta hoon
Sabko pata hai daaru pe hi toh jeeta hoon
Shots main maarun kabhi naap ke nahin
Itti si pee hai, koi paap toh nahin
OR (in video version)
Peg banaaun kabhi naap ke nahi
Apni peeyun kisi ke baap ki nahi

I’m one bottle down
Peelo mere saath mein
Din mein sota hoon
Party karun raat mein (x2)

I’m feeling so good
My world is so round
I’m feeling so good
My world is so round

I wanna dance cause I’m one bottle down
I wanna dance cause I’m one bottle down
I wanna dance.. hoon main poori botal down
I wanna dance.. hoon main poori botal down
I wanna dance.. hoon main poori botal down
I wanna dance.. hoon main poori botal down

(Honey Singh Rap)
Haan nashe mein hoon choor
Rutbe ka poora ghuroor
Abhi kahaan pee hai
Abhi toh peeunga main huzoor
Fukre peete hain naap naap ke
Khul ke peete hain ek baap ke
Pet bhar ke peeta main phir
Floor pe naachun taap taap ke
Zindagi ke saare din jee rakh hain
Ek jaam, do jaam, teen jaam, chaar
Bas itne hi peg maine pee rakhe hain
Main toh kabhi ni rukta
Kisi ke aage na jhukta
Mera gaaya huaa gaana, laakhon mein bikta
Cause I’m Honey Singh!
Laakhon mein bikta
Cause I’m Honey Singh!
Cause I’m Honey Singh!



Read more: https://www.lyricsmint.com/yo-yo-honey-singh/one-bottle-down",Yo Yo Honey Singh
